Week;El_App_WT
5075;69.06915
5076;85.63510
5077;78.41155
5078;84.25904
5079;73.22963
5080;80.18418
5081;67.41489
5082;63.86383
5083;37.47812
5084;17.61355
5085;11.75156
5086;13.64869
5087;10.93877
5088;6.95962
5089;22.94918
5090;14.90369
5091;13.32063
5092;12.42262
5093;20.41267
5094;26.27600
5095;33.41948
5096;27.79653
5097;36.72019
5098;55.75298
5099;49.65014
5100;63.89862
5101;60.99603
5102;52.90612
5103;48.37484
5104;61.99375
5105;90.90018
5106;102.46472
5107;130.17802
5108;113.81589
5109;93.70351
5110;99.52953
5111;123.80137
5112;137.31090
5113;138.62072
5114;132.66281
5115;140.10692
5116;144.77706
5117;121.41122
5118;124.43801
5119;163.48910
5120;170.02935
5121;158.80819
5122;165.54201
5123;176.45872
5124;187.21060
5125;168.99304
5126;176.87583
5127;192.04012
5128;187.25400
5129;177.88774
5130;178.97107
5131;176.14339
5132;193.68666
5133;185.80806
5134;188.53107
5135;209.95483
5136;208.11822
5137;227.04483
5138;239.26639
5139;208.27704
5140;205.20024
5141;189.39737
5142;164.68265
5143;149.66093
5144;125.41915
5145;124.90010
5146;125.06938
5147;127.50492
5148;133.96862
5149;137.29035
5150;142.77303
5151;152.04703
5152;167.95665
5153;174.57391
5154;161.39688
5155;155.61343
5156;163.44690
5157;176.09393
5158;192.34438
5159;193.15525
5160;195.48830
5161;218.98372
5162;216.90982
5163;217.41071
5164;236.26537
5165;273.13928
5166;263.46338
5167;280.24803
5168;278.94560
5169;277.04286
5170;280.52160
5171;281.66957
5172;256.57568
5173;246.14961
5174;236.91939
5175;222.42508
5176;208.20387
5177;226.65076
5178;243.78582
5179;260.44274
5180;272.21969
5181;275.18262
5182;267.43033
5183;269.01176
5184;264.52591
5185;262.50720
5186;260.19349
5187;254.74580
5188;251.54419
5189;250.66581
5190;242.97676
5191;244.43084
5192;249.42189
5193;252.80319
5194;250.89814
5195;237.46048
5196;247.34303
5197;263.69848
5198;256.95915
5199;262.30177
5200;255.07138
5201;273.39475
5202;289.93840
5203;289.83278
5204;287.53413
5205;286.57237
5206;270.85574
5207;268.18873
5208;281.77757
5209;293.88286
5210;296.52705
5211;301.96319
5212;291.43394
5213;296.42448
5214;286.29622
5215;314.64548
5216;316.53875
5217;310.05290
5218;312.26938
5219;315.05062
5220;286.62687
5221;299.41033
5222;301.18871
